.---------------------------------------------------------------------------------------------------.
|                                        Netlify API Methods                                        |
|---------------------------------------------------------------------------------------------------|
| showServiceManifest         | https://open-api.netlify.com/#operation/showServiceManifest         |
| getCurrentUser              | https://open-api.netlify.com/#operation/getCurrentUser              |
| createSplitTest             | https://open-api.netlify.com/#operation/createSplitTest             |
| getSplitTests               | https://open-api.netlify.com/#operation/getSplitTests               |
| updateSplitTest             | https://open-api.netlify.com/#operation/updateSplitTest             |
| getSplitTest                | https://open-api.netlify.com/#operation/getSplitTest                |
| enableSplitTest             | https://open-api.netlify.com/#operation/enableSplitTest             |
| disableSplitTest            | https://open-api.netlify.com/#operation/disableSplitTest            |
| createDnsZone               | https://open-api.netlify.com/#operation/createDnsZone               |
| getDnsZones                 | https://open-api.netlify.com/#operation/getDnsZones                 |
| getDnsZone                  | https://open-api.netlify.com/#operation/getDnsZone                  |
| deleteDnsZone               | https://open-api.netlify.com/#operation/deleteDnsZone               |
| transferDnsZone             | https://open-api.netlify.com/#operation/transferDnsZone             |
| getDnsRecords               | https://open-api.netlify.com/#operation/getDnsRecords               |
| createDnsRecord             | https://open-api.netlify.com/#operation/createDnsRecord             |
| getIndividualDnsRecord      | https://open-api.netlify.com/#operation/getIndividualDnsRecord      |
| deleteDnsRecord             | https://open-api.netlify.com/#operation/deleteDnsRecord             |
| listSiteDevServers          | https://open-api.netlify.com/#operation/listSiteDevServers          |
| createSiteDevServer         | https://open-api.netlify.com/#operation/createSiteDevServer         |
| deleteSiteDevServers        | https://open-api.netlify.com/#operation/deleteSiteDevServers        |
| getSiteDevServer            | https://open-api.netlify.com/#operation/getSiteDevServer            |
| markDevServerActivity       | https://open-api.netlify.com/#operation/markDevServerActivity       |
| updateDevServerState        | https://open-api.netlify.com/#operation/updateDevServerState        |
| listSiteDevServerHooks      | https://open-api.netlify.com/#operation/listSiteDevServerHooks      |
| createSiteDevServerHook     | https://open-api.netlify.com/#operation/createSiteDevServerHook     |
| getSiteDevServerHook        | https://open-api.netlify.com/#operation/getSiteDevServerHook        |
| updateSiteDevServerHook     | https://open-api.netlify.com/#operation/updateSiteDevServerHook     |
| deleteSiteDevServerHook     | https://open-api.netlify.com/#operation/deleteSiteDevServerHook     |
| getAIGatewayProviders       | https://open-api.netlify.com/#operation/getAIGatewayProviders       |
| getAIGatewayToken           | https://open-api.netlify.com/#operation/getAIGatewayToken           |
| createSiteDatabase          | https://open-api.netlify.com/#operation/createSiteDatabase          |
| getSiteDatabase             | https://open-api.netlify.com/#operation/getSiteDatabase             |
| deleteSiteDatabase          | https://open-api.netlify.com/#operation/deleteSiteDatabase          |
| createSiteDatabaseBranch    | https://open-api.netlify.com/#operation/createSiteDatabaseBranch    |
| getSiteDatabaseBranch       | https://open-api.netlify.com/#operation/getSiteDatabaseBranch       |
| deleteSiteDatabaseBranch    | https://open-api.netlify.com/#operation/deleteSiteDatabaseBranch    |
| createSiteDatabaseSnapshot  | https://open-api.netlify.com/#operation/createSiteDatabaseSnapshot  |
| listSiteDatabaseSnapshots   | https://open-api.netlify.com/#operation/listSiteDatabaseSnapshots   |
| deleteSiteDatabaseSnapshot  | https://open-api.netlify.com/#operation/deleteSiteDatabaseSnapshot  |
| restoreSiteDatabaseSnapshot | https://open-api.netlify.com/#operation/restoreSiteDatabaseSnapshot |
'---------------------------------------------------------------------------------------------------'

Above is a list of available API methods
To run a method use "netlify api methodName"
